tazak,qid,priority_val,question,asked,answered,last_10,last_time,grade,ans,is_true,elapsed
73,214,0.12,בתוך *i****,1,1,1,1,1,within,1,72
9160,257,0.69,Counting Numbers = another n***** for Natural Numbers,1,1,1,1,10,name,1,9087
9428,339,0.04,Multiplication = The process of adding a number to i***** a particular number of times,1,1,1,1,1,itself,1,268
9445,185,0.12,this = someone or something n***** in the place or time,1,1,1,1,1,near,1,16
9450,190,0.08,eventually = after a l**** delay or series of problems,1,1,1,1,1,long,1,5
9454,298,0.27,All HTML Elements have Closing Tag,1,1,1,1,4,No,1,4
9472,283,0.35,Square Number can end with digit 8,1,1,1,1,5,No,1,17
9475,205,0.12,בסופו של דבר f*****,1,1,1,1,1,finally,1,4
9477,213,0.12,בתוך *i,1,1,1,1,1,in,1,2
9482,314,0.54,<p> is a Block Level Tag,1,1,1,1,8,Yes,1,4
9498,348,0.23,Ten fingers on two hands is the possible origin of decimal s*****,1,1,1,1,3,system,1,17
9509,302,0.54,Empty HTML Element must be without Tag Attributes,1,1,1,1,8,No,1,11
9517,290,0.15,Markup Language = tags that ch***** the text,1,1,1,1,2,characterize,1,8
9578,345,0.23,Ten fingers on two h***** is the possible origin of decimal system,1,1,1,1,3,hands,1,61
9583,340,0.04,Multiplication = The process of adding a number to itself a particular number of t*****,1,1,1,1,1,times,1,5
9587,180,0.12,and = used to j***** two words,1,1,1,1,1,join,1,4
9595,330,0.23,If we add the number N to its o***** number we get zero,1,1,1,1,3,opposite,1,8
9600,189,0.12,those = p***** form of that,1,1,1,1,1,plural,1,5
9624,255,0.73,Natural Numbers = p***** integers,1,1,1,1,11,positive,1,24
9627,315,0.54,<p> is an Inline Level Tag,1,1,1,1,8,No,1,3
9631,275,0.35,Square Number can end with digit 0,1,1,1,1,5,Yes,1,4
9636,326,0.81,HTML Tags are embedded into each other to indicate the document's o********,1,1,1,1,12,organization,1,4
9647,350,0.69,Positive Integers = n***** n*****,1,1,1,1,10,natural numbers,1,12
9654,239,0.92,Because of bad parents; children learn that one can love someone w***** hurts them,1,1,1,1,13,who,1,7
9657,293,0.19,Recommended HTML Style is *****case,1,0,0,1,32,lower,0,3
10085,240,0.96,Children will s***** in what they love to do,2,1,01,1,29,succeed,1,417
10281,312,0.58,HTML Block Level is rendered with a line break before and after,1,1,1,1,8,Yes,1,196
10292,192,0.08,division = splitting into e***** parts,1,1,1,1,1,equal,1,11
10295,250,0.88,Integer can be negative,3,3,111,1,13,Yes,1,3
10298,289,0.15,Markup Language = t***** that characterize the text,1,1,1,1,2,tags,1,4
10302,242,0.96,Children with worries have little learning a*****,2,2,11,1,14,ability,1,4
10305,184,0.12,finally = after a l***** time,1,1,1,1,1,long,1,2
10309,236,1.0,Happy people share p***** energy with those around them,2,2,11,1,15,positive,1,5
10318,194,0.12,סוגריים [],1,1,1,1,1,brackets,1,8
10333,351,0.5,Composite Number is a positive integer that can be performed by m***** two smaller positive integers,1,0,0,1,37,multiplication,0,15
10350,352,0.35,Composite Number is a positive integer that can be performed by multiplying two s***** positive integers,1,1,1,1,5,smaller,1,9
10357,349,0.69,Natural Numbers = p***** i*****,1,1,1,1,10,positive integers,1,7
10364,324,0.85,Browsers display HTML Tags,1,1,1,1,12,No,1,7
10369,183,0.12,to be able to = to have the n***** ability to do something,2,2,11,1,1,necessary,1,5
10373,344,0.12,כפל,1,1,1,1,1,multiplication,1,4
10376,318,0.46,Empty Element can contain Elements inside it,2,2,11,1,6,No,1,3
10379,310,0.62,HTML Element Block Level,1,1,1,1,9,1,1,3
10382,313,0.58,HTML Inline Level is rendered with a line break before and after,2,2,11,1,8,No,1,3
10384,299,0.27,All HTML Elements have Tag Attributes,1,1,1,1,4,No,1,2
10391,237,1.0,Happy people share positive energy with t***** around them,1,1,1,1,15,those,1,7
10402,333,0.12,they = used to r***** to two or more people,2,0,00,1,31,relate,0,11
10411,271,0.35,Square Number is multiplication of the number with *****,2,2,11,1,5,itself,1,3
10417,193,0.12,סוגריים (),2,2,11,1,1,parentheses,1,6
10421,249,0.69,Integer = Number with n***** fractional part,1,1,1,1,10,no,1,3
10424,280,0.35,Square Number can end with digit 5,1,1,1,1,5,Yes,1,3
