tazak,qid,question,asked,answered,last_10,last_time,priority_val,grade,ans,is_true,elapsed
8,472,HTML Opening Tag is located in the start of the document after the ***** tag,0,0,,1142,0.88,93,doctype,1,8
11,298,All HTML Elements have Closing Tag,3,3,111,459,0.12,24,No,1,3
15,349,Natural Numbers = p***** i*****,3,3,111,6,0.66,10,positive integers,1,4
19,183,to be able to = to have the n***** ability to do something,3,3,111,443,0.09,23,necessary,1,4
23,352,Composite Number is a positive integer that can be performed by multiplying two s***** positive integers,2,2,11,397,0.47,26,smaller,1,4
25,478,מ,0,0,,1048,0.09,81,from,1,2
27,482,על ידי,0,0,,1049,0.09,81,by,1,2
46,476,***** is sum of the first n odd numbers,0,0,,1050,0.5,87,n^2,1,19
69,221,עם ***w,2,2,11,522,0.09,27,with,1,24
79,401,G***** Tag Attributes can be used in most elements (ex: class; draggable),3,3,111,74,0.59,12,global,1,9
86,351,Composite Number is a positive integer that can be performed by m***** two smaller positive integers,7,6,0111111,65,0.5,15,multiplying,1,7
88,215,בתוך *****i,3,3,111,53,0.09,4,inside,1,2
93,474,HTML Tag is empty element,1,1,1,57,0.88,16,No,1,5
98,245,Composite Number is a positive i***** that can be performed by multiplying two smaller positive integers,3,3,111,19,0.5,8,integer,1,5
104,246,The Number N is a Composite Number iff one can arrange N points in a r*****,3,3,111,196,0.62,19,rectangle,1,7
128,469,HTML Tag is i***** for the start and the end of HTML document,0,0,,1157,0.88,93,indication,1,24
134,238,Because of bad p*****; children learn that one can love someone who hurts them,3,3,111,39,0.94,16,parents,1,6
141,247,Composite Number that is not a Square Number; have an ***** number of positive divisors,5,4,01111,77,0.62,19,even,1,7
144,241,Children w***** succeed in what they love to do,3,3,111,43,0.97,16,will,1,3
146,274,N^2 is sum of the first N ***** numbers,3,3,111,76,0.5,11,odd,1,2
155,484,לקבל *****r to,0,0,,1063,0.09,81,to receive,1,9
158,425,היררכיה,0,0,,1163,0.06,80,hierarchy,1,3
194,409,Block Level occupies 100% of the a***** width,1,1,1,160,0.41,14,available,1,36
199,370,Irrational Numbers cannot be written as a f*****,3,3,111,191,0.91,23,fraction,1,5
203,383,Tag Attributes values should be enclosed in ***** marks (usually by double quotes),2,2,11,177,0.56,17,quotation,1,4
205,198,להיות מסוגל,1,1,1,726,0.03,36,to be able,1,2
208,304,Empty HTML Element is without Opening Tag,4,4,1111,296,0.34,19,No,1,3
209,308,<b><img src="path"></b> is Empty HTML Element,3,3,111,177,0.41,15,No,1,1
213,197,אני אצליח,2,2,11,213,0.03,11,i will succed,0,3
226,480,ללכת *****w to,0,0,,1072,0.09,81,to walk,1,8
