qid,asked,answered,last_10,last_time,priority_val,grade
179,0,0,,1058,0.12,81
180,0,0,,1058,0.12,81
181,0,0,,1058,0.12,81
182,0,0,,1058,0.12,81
183,1,1,1,53,0.12,4
184,0,0,,1058,0.12,81
185,0,0,,1058,0.12,81
186,0,0,,1058,0.12,81
187,0,0,,1058,0.12,81
188,0,0,,1058,0.12,81
189,0,0,,1058,0.12,81
190,0,0,,1058,0.08,81
191,1,1,1,49,0.08,3
192,0,0,,1058,0.08,81
193,1,1,1,45,0.12,4
194,0,0,,1058,0.12,81
195,1,1,1,33,0.08,2
196,1,1,1,41,0.08,3
197,1,1,1,34,0.04,2
198,1,1,1,47,0.04,2
199,1,1,1,46,0.04,2
200,0,0,,1058,0.04,80
201,1,1,1,55,0.04,3
202,0,0,,1058,0.12,81
203,0,0,,1058,0.12,81
204,0,0,,1058,0.12,81
205,0,0,,1058,0.12,81
206,0,0,,1058,0.12,81
207,0,0,,1058,0.12,81
208,1,1,1,29,0.12,3
209,1,1,1,56,0.12,4
210,0,0,,1058,0.12,81
211,1,1,1,2,0.12,1
212,0,0,,1058,0.12,81
213,0,0,,1058,0.12,81
214,0,0,,1058,0.12,81
215,0,0,,1058,0.12,81
216,0,0,,1058,0.12,81
217,1,1,1,26,0.12,3
218,1,1,1,27,0.12,3
219,1,1,1,24,0.12,3
220,0,0,,1058,0.12,81
221,0,0,,1058,0.12,81
222,0,0,,1058,0.12,81
223,0,0,,1058,0.12,81
224,0,0,,1058,0.08,81
225,1,1,1,58,0.08,4
226,0,0,,1058,0.08,81
227,1,1,1,13,0.08,1
228,0,0,,1058,0.08,81
229,0,0,,1058,0.08,81
230,0,0,,1058,1.0,95
231,1,1,1,48,1.0,17
232,1,1,1,36,1.0,16
233,0,0,,1058,1.0,95
234,2,1,01,19,1.0,30
235,0,0,,1058,1.0,95
236,0,0,,1058,1.0,95
237,0,0,,1058,1.0,95
238,0,0,,1058,0.92,93
239,0,0,,1058,0.92,93
240,1,0,0,11,0.96,44
241,0,0,,1058,0.96,94
242,0,0,,1058,0.96,94
243,0,0,,1058,0.96,94
244,0,0,,1058,0.5,87
245,0,0,,1058,0.5,87
246,0,0,,1058,0.65,89
247,1,0,0,21,0.65,40
248,0,0,,1058,0.69,90
249,0,0,,1058,0.69,90
250,2,2,11,12,0.88,13
251,0,0,,1058,0.69,90
252,1,1,1,7,0.69,10
253,0,0,,1058,0.88,93
254,0,0,,1058,0.69,90
255,0,0,,1058,0.69,90
256,0,0,,1058,0.88,93
257,0,0,,1058,0.69,90
258,1,1,1,51,0.69,12
259,1,1,1,15,0.88,13
260,1,1,1,17,0.73,11
261,0,0,,1058,0.73,90
262,0,0,,1058,0.73,90
263,1,1,1,16,0.88,14
328,0,0,,1058,0.23,83
329,1,0,0,39,0.23,35
264,1,1,1,23,0.15,3
265,0,0,,1058,0.19,82
266,0,0,,1058,0.19,82
267,0,0,,1058,0.19,82
268,1,1,1,1,0.23,3
269,0,0,,1058,0.19,82
330,0,0,,1058,0.23,83
331,0,0,,1058,0.23,83
270,0,0,,1058,0.35,85
271,1,1,1,44,0.35,7
272,0,0,,1058,0.65,89
273,1,1,1,22,0.65,10
274,1,1,1,31,0.5,9
275,0,0,,1058,0.35,85
276,1,1,1,28,0.35,6
277,0,0,,1058,0.35,85
278,1,1,1,35,0.35,7
279,0,0,,1058,0.35,85
280,0,0,,1058,0.35,85
281,0,0,,1058,0.35,85
282,1,1,1,4,0.35,5
283,0,0,,1058,0.35,85
284,1,1,1,9,0.35,5
285,0,0,,1058,0.35,85
286,1,0,0,5,0.5,37
287,1,1,1,32,0.15,3
288,1,0,0,10,0.15,32
289,0,0,,1058,0.15,82
290,0,0,,1058,0.15,82
291,1,1,1,42,0.19,4
292,1,1,1,14,0.23,4
293,0,0,,1058,0.19,82
294,1,1,1,6,0.15,2
295,1,1,1,43,0.31,6
296,0,0,,1058,0.31,84
297,1,1,1,40,0.27,6
298,0,0,,1058,0.27,84
299,0,0,,1058,0.27,84
300,0,0,,1058,0.27,84
301,0,0,,1058,0.58,88
302,0,0,,1058,0.54,88
303,0,0,,1058,0.54,88
304,1,1,1,50,0.54,10
305,0,0,,1058,0.54,88
306,1,1,1,30,0.54,9
307,1,1,1,38,0.62,11
308,1,1,1,25,0.62,10
309,1,1,1,52,0.62,11
310,0,0,,1058,0.62,89
311,0,0,,1058,0.62,89
312,0,0,,1058,0.58,88
313,1,1,1,20,0.58,9
314,0,0,,1058,0.54,88
315,0,0,,1058,0.54,88
316,1,1,1,8,0.54,8
317,0,0,,1058,0.54,88
318,1,1,1,54,0.46,9
319,0,0,,1058,0.46,86
320,1,1,1,37,0.42,8
321,0,0,,1058,0.42,86
322,0,0,,1058,0.38,85
323,1,1,1,3,0.38,5
324,0,0,,1058,0.85,92
325,0,0,,1058,0.81,92
326,0,0,,1058,0.81,92
327,0,0,,1058,0.77,91
